gender,cgpa,stream,work_experience,internship_experience,technical_proficiency,communication_skills,leadership_role,num_projects,competitions_won,final_package
Female,7.3,Finance,18.8,6.5,3.4,4.7,Member,2,0,3 - 6 LPA
Female,8.55,International Business,0.2,0.7,3.4,3.8,Organizer,1,1,3 - 6 LPA
Female,5.04,Finance,8.5,3.1,4.5,4.3,Joint Coordinator,0,1,3 - 6 LPA
Prefer not to say,7.02,Operations,29.1,6.4,2.8,3.1,Joint Coordinator,3,1,7 - 10 LPA
Prefer not to say,7.27,Business Analytics,42.6,2.9,3.3,2.4,None,0,0,7 - 10 LPA
Female,9.07,HR,0.4,10.1,2.4,2.6,Joint Coordinator,5,0,7 - 10 LPA
Male,8.5,Operations,24.7,27.9,1.2,1.8,Organizer,4,2,11 - 15 LPA
Male,9.42,Marketing,10.6,10.5,3.7,2.7,Joint Coordinator,1,1,7 - 10 LPA
Male,5.92,International Business,45.0,18.0,4.9,4.1,Organizer,1,0,7 - 10 LPA
Male,8.04,Business Analytics,20.9,9.4,2.3,3.0,Organizer,3,0,7 - 10 LPA
Female,4.86,Operations,21.5,5.8,2.6,3.2,Joint Coordinator,2,0,3 - 6 LPA
Prefer not to say,9.92,Marketing,7.0,2.8,2.3,2.8,Member,4,1,7 - 10 LPA
Male,6.81,International Business,0.9,0.8,3.3,2.2,None,4,1,3 - 6 LPA
Female,9.78,International Business,0.2,21.0,3.2,3.0,Organizer,0,2,7 - 10 LPA
Female,7.78,Business Analytics,17.8,3.6,4.2,4.8,Joint Coordinator,1,0,3 - 6 LPA
Male,9.7,International Business,33.1,3.6,1.5,3.8,None,1,0,7 - 10 LPA
Female,7.5,Operations,1.2,22.0,1.1,3.4,Member,2,4,7 - 10 LPA
Prefer not to say,6.51,Marketing,40.5,12.1,4.2,2.5,None,2,2,11 - 15 LPA
Female,9.03,International Business,9.5,3.2,2.9,2.9,Member,8,1,11 - 15 LPA
Male,9.72,Finance,14.0,1.6,4.1,4.5,Organizer,1,1,7 - 10 LPA
Male,8.63,Operations,11.0,11.5,5.0,4.8,None,2,0,7 - 10 LPA
Prefer not to say,8.53,Marketing,14.5,7.3,2.6,2.7,Member,0,0,3 - 6 LPA
Female,7.54,Marketing,7.5,3.5,2.7,3.7,Coordinator,3,2,7 - 10 LPA
Female,9.56,HR,10.2,1.8,3.4,3.0,Joint Coordinator,2,0,7 - 10 LPA
Male,4.46,Operations,2.1,0.8,1.9,3.5,None,3,0,3 - 6 LPA
Male,5.15,International Business,0.6,1.1,2.2,2.4,Organizer,0,0,3 - 6 LPA
Male,6.76,Operations,3.5,2.7,5.0,3.0,Member,0,2,3 - 6 LPA
Male,9.24,International Business,38.1,0.4,3.9,2.4,Organizer,2,1,11 - 15 LPA
Prefer not to say,7.71,Finance,6.9,3.7,3.9,2.0,Joint Coordinator,3,1,7 - 10 LPA
Prefer not to say,5.45,Business Analytics,4.7,2.8,2.4,1.9,None,0,2,3 - 6 LPA
Prefer not to say,8.74,International Business,10.4,0.5,5.0,4.0,Member,2,0,7 - 10 LPA
Prefer not to say,6.18,HR,15.6,5.1,1.6,3.6,Organizer,0,0,3 - 6 LPA
Prefer not to say,5.48,International Business,2.6,1.2,2.2,2.5,Organizer,1,1,3 - 6 LPA
Prefer not to say,9.89,Business Analytics,1.8,3.0,2.4,3.8,Coordinator,1,2,7 - 10 LPA
Male,5.68,Marketing,22.0,1.2,2.2,1.2,Organizer,1,0,3 - 6 LPA
Prefer not to say,7.66,Operations,5.1,5.2,2.9,1.8,Joint Coordinator,1,0,3 - 6 LPA
Male,4.81,Marketing,1.0,27.6,4.0,2.4,Coordinator,2,1,3 - 6 LPA
Prefer not to say,6.47,Marketing,6.4,15.9,3.4,2.4,Joint Coordinator,2,2,3 - 6 LPA
Male,4.84,HR,23.8,1.4,2.7,2.7,Coordinator,3,1,3 - 6 LPA
Male,8.9,HR,8.7,2.8,1.1,2.6,Member,2,1,7 - 10 LPA
Male,7.26,Operations,35.5,5.9,1.5,4.1,Coordinator,1,1,7 - 10 LPA
Prefer not to say,9.36,Operations,23.3,1.0,1.9,2.2,Organizer,1,3,11 - 15 LPA
Female,8.93,Business Analytics,1.8,11.2,2.7,2.0,Joint Coordinator,1,0,3 - 6 LPA
Male,8.33,International Business,19.1,6.1,3.4,4.9,Organizer,1,0,7 - 10 LPA
Female,9.45,Business Analytics,13.1,3.1,3.7,2.9,Organizer,1,1,7 - 10 LPA
Prefer not to say,4.11,Marketing,30.9,16.1,4.8,3.6,Member,2,1,3 - 6 LPA
Prefer not to say,6.54,Marketing,20.0,16.3,2.9,3.8,Coordinator,0,2,7 - 10 LPA
Prefer not to say,9.53,HR,30.6,4.4,1.3,4.5,None,0,0,7 - 10 LPA
Male,8.82,Finance,0.1,2.4,3.9,1.0,Joint Coordinator,2,1,7 - 10 LPA
Prefer not to say,5.35,Business Analytics,9.0,0.9,3.0,1.7,Coordinator,3,1,3 - 6 LPA
Male,7.98,HR,2.9,19.5,2.7,1.9,Organizer,0,2,3 - 6 LPA
Male,4.4,Business Analytics,20.8,1.4,2.9,3.2,None,1,1,3 - 6 LPA
Prefer not to say,4.39,Marketing,22.4,3.6,1.0,4.1,Coordinator,2,0,3 - 6 LPA
Prefer not to say,9.17,Marketing,43.8,2.8,3.8,1.7,None,1,0,11 - 15 LPA
Male,8.3,Finance,16.1,0.2,2.3,2.3,Organizer,1,0,3 - 6 LPA
Female,8.8,Finance,3.0,6.3,2.6,2.8,None,3,1,7 - 10 LPA
Male,5.23,Finance,5.2,13.6,3.3,1.7,Organizer,3,0,3 - 6 LPA
Female,6.28,HR,13.4,1.9,1.7,4.8,None,2,2,7 - 10 LPA
Female,9.21,HR,10.0,13.5,2.7,4.3,Organizer,0,0,3 - 6 LPA
Prefer not to say,7.25,Operations,15.1,1.8,3.2,2.8,Member,2,0,3 - 6 LPA
Female,4.11,Finance,36.9,0.8,1.4,3.6,Joint Coordinator,3,0,3 - 6 LPA
Male,4.82,Marketing,34.5,12.4,4.6,4.6,Member,1,2,7 - 10 LPA
Prefer not to say,7.11,Marketing,0.7,1.1,2.7,3.2,Member,2,0,3 - 6 LPA
Male,6.13,Marketing,19.0,2.1,2.1,5.0,Member,3,0,3 - 6 LPA
Prefer not to say,5.57,Operations,13.6,0.3,5.0,2.9,Joint Coordinator,2,0,3 - 6 LPA
Prefer not to say,8.37,Marketing,10.3,7.0,1.4,2.6,None,3,1,7 - 10 LPA
Male,4.55,Operations,37.4,0.9,2.9,3.6,Coordinator,1,3,7 - 10 LPA
Male,8.15,Business Analytics,28.4,1.7,1.5,2.9,Coordinator,2,2,11 - 15 LPA
Prefer not to say,7.41,Finance,37.1,0.2,1.9,4.1,Member,6,1,11 - 15 LPA
Male,7.58,Operations,3.9,0.8,3.2,2.5,Coordinator,2,0,3 - 6 LPA
Prefer not to say,7.24,Operations,23.5,2.3,3.9,3.3,Member,2,1,7 - 10 LPA
Female,9.25,HR,11.3,16.8,4.2,2.3,Joint Coordinator,2,3,11 - 15 LPA
Prefer not to say,6.53,HR,20.1,1.6,2.7,2.2,Joint Coordinator,1,0,3 - 6 LPA
Female,4.25,Finance,0.3,26.4,1.1,1.8,Member,3,0,3 - 6 LPA
Female,6.51,Business Analytics,31.7,17.4,5.0,2.3,Organizer,2,3,11 - 15 LPA
Male,5.38,Marketing,2.9,1.5,3.6,2.4,Organizer,1,4,7 - 10 LPA
Prefer not to say,6.38,Marketing,21.3,7.1,3.3,2.6,Coordinator,1,1,3 - 6 LPA
Male,7.48,Operations,1.4,12.6,2.4,2.6,Joint Coordinator,6,1,7 - 10 LPA
Female,5.56,Marketing,19.3,4.1,2.5,3.2,None,3,1,3 - 6 LPA
Female,8.07,HR,12.5,1.9,3.2,3.3,Joint Coordinator,7,1,11 - 15 LPA
Prefer not to say,9.29,International Business,30.8,0.2,2.8,3.1,Organizer,2,2,11 - 15 LPA
Prefer not to say,4.04,Operations,5.1,5.8,3.0,3.1,Coordinator,2,1,3 - 6 LPA
Prefer not to say,8.57,HR,11.7,19.8,4.2,1.6,None,1,2,7 - 10 LPA
Male,5.81,Finance,18.5,0.4,1.2,4.0,Joint Coordinator,1,4,7 - 10 LPA
Male,8.55,International Business,0.4,0.1,2.9,1.0,Member,3,2,7 - 10 LPA
Female,4.98,HR,23.8,7.1,4.1,4.3,Member,2,2,7 - 10 LPA
Prefer not to say,7.83,HR,7.6,1.9,3.0,3.2,Joint Coordinator,2,0,3 - 6 LPA
Prefer not to say,7.91,HR,6.9,12.0,3.5,3.0,Member,2,3,7 - 10 LPA
Female,4.79,Marketing,0.5,15.2,4.2,3.5,Coordinator,1,0,3 - 6 LPA
Female,8.11,HR,8.4,1.3,2.3,3.0,Coordinator,2,0,3 - 6 LPA
Female,6.73,Finance,0.2,0.5,2.5,1.0,Member,2,2,3 - 6 LPA
Female,6.88,Finance,1.7,1.7,5.0,3.0,Member,2,0,3 - 6 LPA
Prefer not to say,7.11,International Business,1.4,2.6,2.0,2.7,Organizer,3,0,3 - 6 LPA
Male,4.63,Marketing,15.2,7.4,3.1,2.4,Coordinator,4,1,3 - 6 LPA
Prefer not to say,9.37,Finance,11.9,10.2,5.0,2.3,Member,2,0,7 - 10 LPA
Female,5.48,Operations,2.6,12.3,2.0,2.5,Member,4,0,3 - 6 LPA
Female,9.98,Finance,55.2,6.3,3.6,2.0,Coordinator,0,0,11 - 15 LPA
Female,5.55,Marketing,9.3,12.2,3.9,3.9,None,2,1,3 - 6 LPA
Male,9.2,International Business,13.0,3.5,2.9,4.8,Joint Coordinator,3,2,11 - 15 LPA
Male,7.74,HR,15.0,7.9,3.4,2.3,Member,2,1,7 - 10 LPA
Female,9.13,Operations,10.2,1.7,2.8,4.1,Member,2,0,7 - 10 LPA
Male,6.35,Finance,52.3,1.8,1.7,4.2,None,1,2,11 - 15 LPA
Male,4.44,Business Analytics,2.8,4.4,4.0,2.5,Coordinator,1,2,3 - 6 LPA
Prefer not to say,5.01,HR,0.6,8.0,2.7,5.0,Member,4,0,3 - 6 LPA
Female,5.62,International Business,0.9,4.5,2.9,2.0,None,3,0,3 - 6 LPA
Male,9.92,HR,50.3,0.0,3.1,3.5,Joint Coordinator,3,1,16 - 20 LPA
Prefer not to say,4.18,Marketing,5.5,7.3,3.6,1.9,Organizer,1,1,3 - 6 LPA
Male,9.21,Business Analytics,2.9,7.1,3.0,5.0,Joint Coordinator,3,3,11 - 15 LPA
Female,7.95,HR,7.5,6.3,3.3,2.2,Organizer,1,2,7 - 10 LPA
Male,8.69,Finance,12.6,8.0,2.8,4.0,Coordinator,3,1,7 - 10 LPA
Male,8.91,Business Analytics,1.9,4.7,1.7,1.4,Organizer,2,0,3 - 6 LPA
Male,6.24,HR,3.9,0.5,4.6,4.0,Organizer,2,2,3 - 6 LPA
Prefer not to say,4.15,Business Analytics,6.3,2.9,4.4,1.2,Member,6,0,3 - 6 LPA
Prefer not to say,4.05,HR,15.6,13.7,3.1,2.9,None,0,1,3 - 6 LPA
Male,4.61,HR,10.0,1.8,2.0,1.9,Joint Coordinator,2,2,3 - 6 LPA
Female,6.48,Marketing,1.9,1.2,2.0,3.6,Coordinator,2,1,3 - 6 LPA
Female,9.78,HR,9.9,9.8,2.4,3.1,Member,5,0,7 - 10 LPA
Female,7.67,Business Analytics,7.9,11.0,2.7,3.8,Member,2,1,7 - 10 LPA
Prefer not to say,8.01,Marketing,1.5,5.9,5.0,1.8,Organizer,1,1,3 - 6 LPA
Prefer not to say,4.57,Finance,0.4,6.2,4.0,5.0,Joint Coordinator,1,1,3 - 6 LPA
Prefer not to say,9.93,Business Analytics,2.2,7.1,1.6,1.1,Coordinator,3,0,7 - 10 LPA
Prefer not to say,8.35,International Business,13.0,1.9,1.9,2.3,Member,1,1,7 - 10 LPA
Prefer not to say,8.8,International Business,4.0,4.7,3.3,3.8,Member,2,3,7 - 10 LPA
Female,8.38,Business Analytics,9.4,0.4,3.6,3.1,Coordinator,1,0,3 - 6 LPA
Prefer not to say,7.21,HR,1.5,3.6,2.3,4.2,Member,3,1,3 - 6 LPA
Prefer not to say,9.95,Marketing,39.3,4.7,3.1,4.2,Member,1,1,11 - 15 LPA
Female,8.96,Operations,22.9,7.4,2.2,1.7,Organizer,0,2,7 - 10 LPA
Female,6.38,HR,8.9,5.5,3.8,3.0,Organizer,3,1,3 - 6 LPA
Female,8.9,Operations,7.2,12.6,3.3,3.3,Coordinator,2,1,7 - 10 LPA
Female,8.17,International Business,6.4,22.3,4.1,3.5,None,0,3,7 - 10 LPA
Prefer not to say,8.59,International Business,2.9,4.2,1.9,2.7,None,1,0,3 - 6 LPA
Prefer not to say,4.81,Operations,49.5,4.8,2.9,3.5,Organizer,2,0,7 - 10 LPA
Prefer not to say,7.84,Marketing,3.7,5.8,2.0,3.4,Organizer,0,1,3 - 6 LPA
Male,4.35,Business Analytics,79.1,0.4,2.4,2.6,Member,0,0,7 - 10 LPA
Prefer not to say,4.61,International Business,17.7,0.4,3.2,3.0,Organizer,3,1,3 - 6 LPA
Female,4.78,Business Analytics,32.7,3.6,2.5,1.8,Member,4,1,7 - 10 LPA
Prefer not to say,4.12,Business Analytics,4.5,8.6,3.1,1.9,Member,1,0,3 - 6 LPA
Prefer not to say,9.86,Finance,24.3,19.3,2.0,3.0,Member,3,1,11 - 15 LPA
Female,5.95,Operations,20.1,3.9,1.6,1.4,Member,5,1,7 - 10 LPA
Prefer not to say,5.53,HR,27.6,0.2,2.9,3.9,Coordinator,5,1,7 - 10 LPA
Male,8.42,International Business,10.8,6.8,2.6,3.2,Organizer,0,0,3 - 6 LPA
Male,9.74,Finance,20.1,2.6,2.0,1.7,Coordinator,2,0,7 - 10 LPA
Male,4.59,Business Analytics,16.2,8.7,4.0,2.2,Member,2,0,3 - 6 LPA
Male,7.69,Business Analytics,22.4,6.2,2.4,3.0,Organizer,4,2,11 - 15 LPA
Prefer not to say,7.94,Operations,2.1,2.5,2.0,1.0,Joint Coordinator,3,0,3 - 6 LPA
Prefer not to say,5.18,Business Analytics,32.7,6.2,3.9,2.4,Organizer,4,2,7 - 10 LPA
Male,8.66,Finance,16.0,1.2,3.3,3.0,Member,1,0,7 - 10 LPA
Male,4.79,Marketing,19.4,10.2,3.0,1.5,Member,4,0,3 - 6 LPA
Male,7.39,Finance,17.5,12.4,4.3,3.7,None,1,0,3 - 6 LPA
Prefer not to say,5.48,Operations,19.4,28.8,2.8,2.1,Organizer,2,2,7 - 10 LPA
Prefer not to say,6.13,Finance,23.0,4.8,1.6,1.9,None,1,2,7 - 10 LPA
Male,6.69,Business Analytics,19.2,13.0,1.3,4.5,Coordinator,2,1,7 - 10 LPA
Female,8.77,International Business,1.5,5.3,5.0,2.7,Member,0,1,3 - 6 LPA
Prefer not to say,7.36,Operations,13.9,6.8,2.4,3.8,Organizer,2,0,3 - 6 LPA
Female,6.01,Operations,23.0,7.4,3.1,4.5,None,1,0,3 - 6 LPA
Prefer not to say,6.6,Business Analytics,1.4,1.5,4.5,3.6,None,5,0,3 - 6 LPA
Prefer not to say,6.46,Business Analytics,27.5,2.9,4.9,4.5,None,1,0,3 - 6 LPA
Prefer not to say,4.16,Business Analytics,0.4,10.7,3.1,1.2,Organizer,2,2,3 - 6 LPA
Male,5.12,International Business,24.3,3.7,1.9,2.9,Joint Coordinator,0,1,3 - 6 LPA
Prefer not to say,6.62,Business Analytics,19.6,8.7,3.4,1.9,Member,1,2,7 - 10 LPA
Female,4.34,Business Analytics,5.0,1.8,3.4,2.8,Coordinator,1,1,3 - 6 LPA
Female,8.66,Finance,1.0,4.0,1.0,3.9,Joint Coordinator,2,2,7 - 10 LPA
Female,9.62,Operations,0.8,3.3,3.9,2.1,Coordinator,3,1,7 - 10 LPA
Male,9.83,Finance,14.1,2.6,2.3,2.2,Organizer,3,2,11 - 15 LPA
Male,8.25,International Business,11.8,0.5,1.9,1.0,Joint Coordinator,2,1,7 - 10 LPA
Female,6.47,Business Analytics,15.8,4.7,3.0,2.3,Organizer,2,1,3 - 6 LPA
Female,5.55,Business Analytics,2.7,2.4,3.1,4.6,Coordinator,4,2,3 - 6 LPA
Female,4.16,Business Analytics,1.0,3.7,3.1,3.9,None,1,2,3 - 6 LPA
Prefer not to say,8.65,International Business,50.1,1.4,1.2,3.2,Coordinator,4,2,16 - 20 LPA
Prefer not to say,8.18,Business Analytics,23.6,2.3,2.7,2.6,Organizer,2,0,7 - 10 LPA
Female,6.64,HR,14.3,0.5,3.2,3.2,Member,4,1,7 - 10 LPA
Female,9.29,Operations,8.4,1.1,3.0,2.7,Member,3,1,7 - 10 LPA
Prefer not to say,9.15,Operations,25.6,4.7,2.0,4.1,None,3,2,11 - 15 LPA
Female,5.04,Finance,18.7,10.5,2.8,2.6,Joint Coordinator,1,1,3 - 6 LPA
Female,7.91,Marketing,14.6,2.6,2.9,4.2,Organizer,2,1,7 - 10 LPA
Prefer not to say,8.12,International Business,1.1,1.2,2.6,3.5,Member,3,1,7 - 10 LPA
Prefer not to say,5.28,Finance,0.5,2.2,3.5,3.2,None,4,2,3 - 6 LPA
Male,4.67,Operations,8.9,3.7,3.1,4.1,Member,2,1,3 - 6 LPA
Female,8.44,Operations,37.5,2.0,2.6,3.8,Member,3,2,11 - 15 LPA
Male,8.98,Marketing,5.0,12.4,3.3,2.4,Member,1,0,3 - 6 LPA
Male,4.07,Business Analytics,9.5,2.2,1.4,3.8,Joint Coordinator,2,3,3 - 6 LPA
Female,9.35,Business Analytics,3.1,0.5,3.7,2.4,Organizer,0,3,7 - 10 LPA
Female,4.38,HR,26.7,5.5,3.3,3.6,Organizer,4,0,3 - 6 LPA
Female,6.61,HR,22.3,5.5,2.9,4.0,Member,4,1,7 - 10 LPA
Female,6.31,HR,10.0,6.3,3.1,3.6,None,3,0,3 - 6 LPA
Female,6.17,Marketing,9.6,0.3,2.6,2.3,Member,3,1,3 - 6 LPA
Male,5.24,HR,10.9,0.0,4.1,2.4,Joint Coordinator,2,2,3 - 6 LPA
Male,7.7,International Business,1.8,2.5,4.1,3.0,Coordinator,3,0,3 - 6 LPA
Male,6.37,Finance,8.2,3.2,3.3,3.5,Joint Coordinator,4,0,3 - 6 LPA
Male,7.82,Operations,0.8,1.8,3.1,2.4,Joint Coordinator,1,1,3 - 6 LPA
Male,6.21,Business Analytics,1.9,3.3,2.9,3.1,Member,0,0,3 - 6 LPA
Prefer not to say,9.65,Finance,16.6,6.8,4.2,1.3,Organizer,0,2,7 - 10 LPA
Female,9.24,HR,19.3,0.8,1.9,3.1,Joint Coordinator,0,1,7 - 10 LPA
Prefer not to say,6.92,International Business,12.9,0.3,3.2,2.0,Member,4,1,7 - 10 LPA
Male,5.65,HR,5.5,9.3,4.4,2.7,Coordinator,4,1,3 - 6 LPA
Male,7.61,HR,18.3,7.0,1.9,2.6,Member,1,1,7 - 10 LPA
Female,4.93,Business Analytics,0.4,6.2,1.6,4.2,None,0,1,3 - 6 LPA
Male,8.06,Marketing,14.0,2.7,4.9,2.5,Member,1,0,3 - 6 LPA
Prefer not to say,7.03,Finance,49.9,2.9,1.9,2.6,Coordinator,0,1,7 - 10 LPA
Female,5.74,International Business,34.6,0.7,2.9,3.2,Member,4,2,7 - 10 LPA
Male,6.04,Operations,11.7,1.0,4.7,5.0,Member,3,0,3 - 6 LPA
Female,5.17,Operations,0.9,2.5,1.0,3.7,Organizer,1,1,3 - 6 LPA
Female,6.93,Marketing,7.7,30.5,3.3,3.9,Member,2,1,3 - 6 LPA
Female,6.85,Marketing,11.7,1.6,3.3,4.8,None,1,1,3 - 6 LPA
Female,8.77,Marketing,4.8,12.6,3.4,3.0,Organizer,3,0,7 - 10 LPA
Female,5.22,International Business,21.5,2.9,1.0,5.0,None,5,2,7 - 10 LPA
Female,4.66,International Business,28.9,3.5,3.6,1.0,Joint Coordinator,2,1,3 - 6 LPA
Male,8.34,International Business,17.7,0.9,2.0,1.6,Member,2,1,7 - 10 LPA
Prefer not to say,9.99,HR,16.9,10.6,3.7,3.5,Member,1,3,11 - 15 LPA
Prefer not to say,9.08,Business Analytics,14.3,0.6,2.2,3.0,Organizer,2,0,7 - 10 LPA
Prefer not to say,4.67,Operations,24.8,17.7,1.1,3.2,Joint Coordinator,0,2,3 - 6 LPA
Male,4.3,Marketing,1.1,3.1,2.0,2.2,Joint Coordinator,3,1,3 - 6 LPA
Female,6.86,Finance,3.8,6.1,3.1,3.3,Member,2,2,3 - 6 LPA
Prefer not to say,7.52,Operations,14.7,0.4,1.9,3.8,Member,5,1,7 - 10 LPA
Female,6.98,Marketing,5.0,0.9,2.5,3.2,Organizer,2,1,3 - 6 LPA
Female,5.66,Finance,18.4,0.4,3.8,2.1,Organizer,1,0,3 - 6 LPA
Female,5.62,HR,27.7,2.3,3.3,3.2,Organizer,4,1,7 - 10 LPA
Prefer not to say,6.33,International Business,15.0,7.3,4.0,4.2,None,5,2,7 - 10 LPA
Prefer not to say,6.16,Marketing,47.1,4.2,1.6,1.0,Member,1,1,7 - 10 LPA
Male,8.61,Marketing,8.1,10.4,2.6,3.5,Joint Coordinator,3,2,7 - 10 LPA
Female,4.82,Business Analytics,15.8,8.1,4.1,1.6,Member,2,1,3 - 6 LPA
Male,6.21,International Business,0.9,0.7,1.3,3.1,Organizer,1,1,3 - 6 LPA
Prefer not to say,4.12,Business Analytics,2.0,3.2,1.0,2.8,Organizer,2,2,3 - 6 LPA
Male,8.07,Marketing,5.6,8.9,3.1,4.5,Joint Coordinator,1,0,3 - 6 LPA
Female,8.62,International Business,24.7,0.8,4.0,2.3,Joint Coordinator,2,0,7 - 10 LPA
Prefer not to say,5.8,Operations,15.6,21.9,3.2,3.2,Organizer,3,0,3 - 6 LPA
Prefer not to say,5.37,Operations,4.2,4.0,2.8,4.7,Organizer,0,5,7 - 10 LPA
Prefer not to say,6.19,Operations,3.8,1.3,3.3,2.0,Organizer,2,2,3 - 6 LPA
Prefer not to say,8.04,Business Analytics,4.5,2.5,2.8,3.5,Joint Coordinator,3,0,3 - 6 LPA
Female,4.05,Finance,15.0,3.6,1.4,3.2,Coordinator,2,0,3 - 6 LPA
Male,8.84,HR,9.2,4.7,2.4,2.9,Coordinator,1,0,3 - 6 LPA
Prefer not to say,4.3,International Business,27.8,23.8,3.4,3.4,Joint Coordinator,2,5,11 - 15 LPA
Male,6.62,International Business,13.5,0.5,3.2,3.0,Organizer,3,4,11 - 15 LPA
Prefer not to say,6.86,Operations,19.0,1.7,4.4,4.2,None,1,2,7 - 10 LPA
Prefer not to say,4.05,Operations,6.6,15.6,3.6,1.7,Joint Coordinator,1,2,3 - 6 LPA
Male,6.57,Finance,0.4,3.9,2.2,3.3,Joint Coordinator,1,2,3 - 6 LPA
Female,8.57,Finance,7.0,3.0,3.2,3.2,Organizer,4,1,7 - 10 LPA
Prefer not to say,7.94,Operations,4.1,1.3,1.5,3.0,Coordinator,0,0,3 - 6 LPA
Male,5.05,Marketing,30.2,2.0,3.1,3.6,Member,2,1,3 - 6 LPA
Prefer not to say,6.12,Finance,33.7,17.6,2.8,3.9,Member,3,1,7 - 10 LPA
Female,5.99,Marketing,29.0,1.4,3.0,3.7,None,3,2,7 - 10 LPA
Prefer not to say,4.91,HR,31.3,4.6,2.4,1.3,Organizer,0,0,3 - 6 LPA
Female,8.59,HR,0.0,3.2,2.3,3.0,Joint Coordinator,2,0,3 - 6 LPA
Male,5.38,HR,0.0,7.8,4.2,3.8,None,2,0,3 - 6 LPA
Female,8.28,Marketing,25.5,1.2,3.8,2.7,None,5,0,7 - 10 LPA
Female,7.27,Business Analytics,18.5,1.1,3.4,4.4,Coordinator,1,0,3 - 6 LPA
Prefer not to say,7.61,International Business,5.3,7.5,2.6,3.3,Coordinator,2,4,7 - 10 LPA
Male,9.53,Operations,17.8,7.8,2.6,3.7,None,2,0,7 - 10 LPA
Male,9.87,Finance,29.1,7.2,3.5,4.7,Coordinator,3,2,11 - 15 LPA
Female,4.15,Operations,27.4,0.1,1.5,2.6,Member,4,1,3 - 6 LPA
Prefer not to say,9.18,Finance,3.0,9.7,1.0,4.1,Member,0,1,7 - 10 LPA
Female,5.86,Business Analytics,5.1,12.3,4.1,3.6,None,2,2,3 - 6 LPA
Female,8.04,Operations,0.8,4.8,2.0,1.9,None,2,1,3 - 6 LPA
Female,4.41,Operations,23.0,2.0,4.8,2.3,Member,1,1,3 - 6 LPA
Prefer not to say,7.85,International Business,16.7,6.0,2.6,1.7,Coordinator,1,0,3 - 6 LPA
Male,5.66,International Business,8.5,23.6,3.0,2.2,Joint Coordinator,2,1,3 - 6 LPA
